SYBT	Stock Yards Bancorp, Inc.	Banks - Regional	1.89B
SYF	Synchrony Financial	Credit Services	24.02B
SYK	Stryker Corporation	Medical Devices	148.28B
SYM	Symbotic Inc.	Specialty Industrial Machinery	32.99B
SYNA	Synaptics Incorporated	Semiconductors	3.15B
SYNX	Silynxcom Ltd.	Communication Equipment	6.77M
SYPR	Sypris Solutions, Inc.	Auto Parts	68.17M
SYRE	Spyre Therapeutics, Inc.	Biotechnology	3.38B
SYY	Sysco Corporation	Food Distribution	43.66B
SZZL	Sizzle Acquisition Corp. II	Shell Companies	320.48M
T	AT&T Inc.	Telecom Services	196.09B
TAC	TransAlta Corporation	Utilities - Independent Power Producers	4.08B
TACH	Titan Acquisition Corp	Shell Companies	354.66M
TACO	Berto Acquisition Corp.	Shell Companies	383.07M
TACT	TransAct Technologies Incorporated	Computer Hardware	34.99M
TAK	Takeda Pharmaceutical Company Limited	Drug Manufacturers - Specialty & Generic	58.90B
TAL	TAL Education Group	Education & Training Services	6.41B
TALK	Talkspace, Inc.	Health Information Services	798.46M
TALO	Talos Energy Inc.	Oil & Gas Exploration & Production	2.06B
TANH	Tantech Holdings Ltd	Household & Personal Products	5.05M
TAOP	Taoping Inc.	Software - Infrastructure	13.40M
TAOX	TAO Synergies Inc.	Software - Infrastructure	27.87M
TAP	Molson Coors Beverage Company	Beverages - Brewers	9.21B
TAP.A	Molson Coors Beverage Company	Beverages - Brewers	9.22B
TARA	Protara Therapeutics, Inc.	Biotechnology	340.81M
TARS	Tarsus Pharmaceuticals, Inc.	Biotechnology	3.21B
TASK	TaskUs, Inc.	Information Technology Services	960.24M
TATT	TAT Technologies Ltd.	Aerospace & Defense	717.08M
TAVI	Tavia Acquisition Corp.	Shell Companies	167.65M
TAYD	Taylor Devices, Inc.	Specialty Industrial Machinery	276.65M
TBBB	BBB Foods Inc.	Discount Stores	4.18B
TBBK	The Bancorp, Inc.	Banks - Regional	2.22B
TBCH	Turtle Beach Corporation	Consumer Electronics	242.16M
TBH	Brag House Holdings, Inc.	Electronic Gaming & Multimedia	5.54M
TBHC	The Brand House Collective, Inc.	Home Improvement Retail	24.26M
TBI	TrueBlue, Inc.	Staffing & Employment Services	127.16M
TBLA	Taboola.com Ltd.	Internet Content & Information	879.99M
TBLD	Thornburg Income Builder Opportunities Trust	Asset Management	718.95M
TBMC	Trailblazer Holdings, Inc.	Shell Companies	23.42M
TBN	Tamboran Resources Corporation	Oil & Gas Exploration & Production	694.30M
TBPH	Theravance Biopharma, Inc.	Biotechnology	924.77M
TBRG	TruBridge, Inc.	Health Information Services	280.40M
TC	Token Cat Limited	Advertising Agencies	18.98M
TCBI	Texas Capital Bancshares, Inc.	Banks - Regional	4.21B
TCBK	TriCo Bancshares	Banks - Regional	1.55B
TCBS	Texas Community Bancshares, Inc.	Banks - Regional	45.72M
TCBX	Third Coast Bancshares, Inc.	Banks - Regional	550.22M
TCGL	TechCreate Group Ltd.	Software - Infrastructure	3.53B
TCI	Transcontinental Realty Investors, Inc.	Real Estate Services	316.80M
TCMD	Tactile Systems Technology, Inc.	Medical Devices	657.24M
TCOM	Trip.com Group Limited	Travel Services	34.39B
TCPC	BlackRock TCP Capital Corp.	Asset Management	347.00M
TCRT	Alaunos Therapeutics, Inc.	Biotechnology	7.12M
TCRX	TScan Therapeutics, Inc.	Biotechnology	60.15M
TCX	Tucows Inc.	Software - Infrastructure	201.65M
TD	The Toronto-Dominion Bank	Banks - Diversified	162.85B
TDAC	Translational Development Acquisition Corp.	Shell Companies	228.71M
TDAY	USA TODAY Co., Inc.	Publishing	850.63M
TDC	Teradata Corporation	Software - Infrastructure	2.93B
TDG	TransDigm Group Incorporated	Aerospace & Defense	73.57B
TDIC	Dreamland Limited	Advertising Agencies	6.29M
TDOC	Teladoc Health, Inc.	Health Information Services	938.37M
TDS	Telephone and Data Systems, Inc.	Telecom Services	5.09B
TDTH	Trident Digital Tech Holdings Ltd	Information Technology Services	18.60M
TDUP	ThredUp Inc.	Internet Retail	610.69M
TDW	Tidewater Inc.	Oil & Gas Equipment & Services	3.94B
TDWD	Tailwind 2.0 Acquisition Corp.	Shell Companies	233.80M
TDY	Teledyne Technologies Incorporated	Scientific & Technical Instruments	31.54B
TE	T1 Energy Inc.	Electrical Equipment & Parts	1.67B
TEAD	Teads Holding Co.	Internet Content & Information	81.69M
TEAM	Atlassian Corporation	Software - Application	19.82B
TECH	Bio-Techne Corporation	Biotechnology	9.23B
TECK	Teck Resources Limited	Other Industrial Metals & Mining	28.73B
TECX	Tectonic Therapeutic, Inc.	Biotechnology	438.90M
TEL	TE Connectivity plc	Electronic Components	67.53B
TELA	TELA Bio, Inc.	Medical Devices	38.66M
TELO	Telomir Pharmaceuticals, Inc.	Biotechnology	43.66M
TEM	Tempus AI, Inc.	Health Information Services	9.52B
TEN	Tsakos Energy Navigation Limited	Oil & Gas Midstream	1.06B
TENB	Tenable Holdings, Inc.	Software - Infrastructure	2.28B
TENX	Tenax Therapeutics, Inc.	Biotechnology	486.84M
TEO	Telecom Argentina S.A.	Telecom Services	5.15B
TER	Teradyne, Inc.	Semiconductor Equipment & Materials	50.10B
TERN	Terns Pharmaceuticals, Inc.	Biotechnology	4.58B
TEVA	Teva Pharmaceutical Industries Limited	Drug Manufacturers - Specialty & Generic	39.43B
TEX	Terex Corporation	Farm & Heavy Construction Machinery	7.82B
TFC	Truist Financial Corporation	Banks - Regional	61.60B
TFII	TFI International Inc.	Trucking	9.82B
TFIN	Triumph Financial, Inc.	Banks - Regional	1.33B
TFPM	Triple Flag Precious Metals Corp.	Other Precious Metals & Mining	8.54B
TFSL	TFS Financial Corporation	Banks - Regional	3.91B
TFX	Teleflex Incorporated	Medical Instruments & Supplies	5.39B
TG	Tredegar Corporation	Metal Fabrication	313.39M
TGB	Taseko Mines Limited	Copper	3.25B
TGE	The Generation Essentials Group	Asset Management	63.48M
TGEN	Tecogen Inc.	Electrical Equipment & Parts	103.57M
TGHL	The Growhub Limited	Software - Infrastructure	10.50M
TGL	Treasure Global Inc.	Software - Application	7.81M
TGLS	Tecnoglass Inc.	Building Materials	2.04B
TGNA	TEGNA Inc.	Broadcasting	3.37B
TGS	Transportadora de Gas del Sur S.A.	Oil & Gas Integrated	4.56B
TGT	Target Corporation	Discount Stores	51.52B
TGTX	TG Therapeutics, Inc.	Biotechnology	4.40B
TH	Target Hospitality Corp.	Specialty Business Services	777.28M
THC	Tenet Healthcare Corporation	Medical Care Facilities	20.82B
THCH	TH International Limited	Restaurants	68.56M
THFF	First Financial Corporation	Banks - Regional	752.76M
THG	The Hanover Insurance Group, Inc.	Insurance - Property & Casualty	6.35B
THH	TryHard Holdings Limited	Specialty Business Services	26.71M
THM	International Tower Hill Mines Ltd.	Gold	909.88M
THO	THOR Industries, Inc.	Recreational Vehicles	5.08B
THR	Thermon Group Holdings, Inc.	Specialty Industrial Machinery	1.67B
THRM	Gentherm Incorporated	Auto Parts	1.00B
THRY	Thryv Holdings, Inc.	Software - Application	102.46M
TIC	TIC Solutions, Inc.	Specialty Business Services	2.10B
TIGO	Millicom International Cellular S.A.	Telecom Services	12.18B
TIGR	UP Fintech Holding Limited	Capital Markets	1.39B
TII	Titan Mining Corporation	Other	410.08M
TIL	Instil Bio, Inc.	Biotechnology	60.36M
TILE	Interface, Inc.	Furnishings, Fixtures & Appliances	1.84B
TIMB	TIM S.A.	Telecom Services	12.99B
TIPT	Tiptree Inc.	Insurance - Specialty	644.14M
TIRX	Tian Ruixiang Holdings Ltd.	Insurance Brokers	5.31M
TISI	Team, Inc.	Specialty Business Services	66.56M
TITN	Titan Machinery Inc.	Industrial Distribution	445.88M
TIVC	Tivic Health Systems, Inc.	Medical Devices	2.07M
TJGC	TJGC Group Limited	Advertising Agencies	13.60M
TJX	The TJX Companies, Inc.	Apparel Retail	179.52B
TK	Teekay Corporation Ltd.	Oil & Gas Midstream	1.10B
TKC	Turkcell Iletisim Hizmetleri A.S.	Telecom Services	5.73B
TKLF	Tokyo Lifestyle Co., Ltd.	Specialty Retail	12.36M
TKNO	Alpha Teknova, Inc.	Drug Manufacturers - Specialty & Generic	138.11M
TKO	TKO Group Holdings, Inc.	Entertainment	43.46B
TKR	The Timken Company	Tools & Accessories	7.54B
TLF	Tandy Leather Factory, Inc.	Specialty Retail	19.13M
TLIH	Ten-League International Holdings Limited	Industrial Distribution	10.81M
TLK	Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk	Telecom Services	20.89B
TLN	Talen Energy Corporation	Utilities - Independent Power Producers	16.95B
TLNC	Talon Capital Corp.	Shell Companies	345.51M
TLPH	Talphera, Inc.	Drug Manufacturers - Specialty & Generic	42.49M
TLRY	Tilray Brands, Inc.	Drug Manufacturers - Specialty & Generic	916.91M
TLS	Telos Corporation	Software - Infrastructure	296.49M
TLSA	Tiziana Life Sciences Ltd	Biotechnology	185.05M
TLSI	TriSalus Life Sciences, Inc.	Medical Devices	302.65M
TLX	Telix Pharmaceuticals Limited	Biotechnology	2.41B
TLYS	Tilly's, Inc.	Apparel Retail	43.88M
TM	Toyota Motor Corporation	Auto Manufacturers	319.44B
TMC	TMC the metals company Inc.	Other Industrial Metals & Mining	2.59B
TMCI	Treace Medical Concepts, Inc.	Medical Devices	118.52M
TMDE	TMD Energy Limited	Oil & Gas Midstream	21.73M
TMDX	TransMedics Group, Inc.	Medical Devices	4.98B
TME	Tencent Music Entertainment Group	Internet Content & Information	22.61B
TMHC	Taylor Morrison Home Corporation	Residential Construction	6.35B
TMO	Thermo Fisher Scientific Inc.	Diagnostics & Research	193.58B
TMP	Tompkins Financial Corporation	Banks - Regional	1.11B
TMQ	Trilogy Metals Inc.	Other Industrial Metals & Mining	756.65M
TMTS	Spartacus Acquisition Corp. II	Shell Companies	297.26M
TMUS	T-Mobile US, Inc.	Telecom Services	239.20B
TNC	Tennant Company	Specialty Industrial Machinery	1.09B
TNDM	Tandem Diabetes Care, Inc.	Medical Devices	1.73B
TNET	TriNet Group, Inc.	Staffing & Employment Services	1.80B
TNGX	Tango Therapeutics, Inc.	Biotechnology	1.50B
TNK	Teekay Tankers Ltd.	Oil & Gas Midstream	2.70B
TNL	Travel + Leisure Co.	Travel Services	4.60B
TNMG	TNL Mediagene	Publishing	7.82M
TNON	Tenon Medical, Inc.	Medical Devices	9.68M
TNXP	Tonix Pharmaceuticals Holding Corp.	Biotechnology	178.73M
TNYA	Tenaya Therapeutics, Inc.	Biotechnology	121.63M
TOI	The Oncology Institute, Inc.	Medical Care Facilities	284.32M
TOL	Toll Brothers, Inc.	Residential Construction	14.90B
TOMZ	TOMI Environmental Solutions, Inc.	Pollution & Treatment Controls	13.96M
TONX	TON Strategy Company	Software - Application	114.64M
TOON	Kartoon Studios Inc.	Entertainment	30.72M
TOP	TOP Financial Group Limited	Capital Markets	37.44M
TOPP	Toppoint Holdings Inc.	Trucking	15.13M
TOPS	Top Ships Inc.	Oil & Gas Midstream	22.53M
TORO	Toro Corp.	Oil & Gas Midstream	80.53M
TOST	Toast, Inc.	Software - Infrastructure	16.09B
TOUR	Tuniu Corporation	Travel Services	78.91M
TOVX	Theriva Biologics, Inc.	Biotechnology	7.13M
TOWN	TowneBank	Banks - Regional	2.67B
TOYO	TOYO Co., Ltd.	Solar	297.28M
TPB	Turning Point Brands, Inc.	Tobacco	2.61B
TPC	Tutor Perini Corporation	Engineering & Construction	3.98B
TPCS	TechPrecision Corporation	Metal Fabrication	39.34M
TPET	Trio Petroleum Corp.	Oil & Gas Exploration & Production	5.17M
TPG	TPG Inc.	Asset Management	16.68B
TPH	Tri Pointe Homes, Inc.	Residential Construction	3.91B
TPL	Texas Pacific Land Corporation	Oil & Gas Exploration & Production	36.15B
TPR	Tapestry, Inc.	Luxury Goods	31.48B
TPST	Tempest Therapeutics, Inc.	Biotechnology	30.74M
TPVG	TriplePoint Venture Growth BDC Corp.	Asset Management	209.67M
TR	Tootsie Roll Industries, Inc.	Confectioners	3.08B
TRAD	Apex Tech Acquisition Inc.	Shell Companies	101.97M
TRAK	ReposiTrak, Inc.	Software - Application	158.37M
TRAW	Traws Pharma, Inc.	Biotechnology	13.18M
TRC	Tejon Ranch Co.	Conglomerates	473.60M
TRDA	Entrada Therapeutics, Inc.	Biotechnology	427.83M
TREE	LendingTree, Inc.	Financial Conglomerates	510.87M
TREX	Trex Company, Inc.	Building Products & Equipment	4.38B
TRGP	Targa Resources Corp.	Oil & Gas Midstream	50.69B
TRGS	TRG Latin America Acquisitions Corp.	Shell Companies	252.00M
TRI	Thomson Reuters Corporation	Specialty Business Services	42.86B
TRIB	Trinity Biotech plc	Medical Devices	13.46M
TRIN	Trinity Capital Inc.	Asset Management	1.23B
TRIP	Tripadvisor, Inc.	Travel Services	1.16B
TRMB	Trimble Inc.	Scientific & Technical Instruments	15.64B
TRMD	TORM plc	Oil & Gas Midstream	2.97B
TRMK	Trustmark Corporation	Banks - Regional	2.51B
TRN	Trinity Industries, Inc.	Railroads	2.73B
TRNO	Terreno Realty Corporation	REIT - Industrial	6.88B
TRNR	Interactive Strength Inc.	Personal Services	919.29K
TRNS	Transcat, Inc.	Specialty Business Services	727.63M
TRON	Tron Inc.	Leisure	349.68M
TROO	TROOPS, Inc.	Credit Services	364.49M
TROW	T. Rowe Price Group, Inc.	Asset Management	20.64B
TROX	Tronox Holdings plc	Chemicals	1.19B
TRP	TC Energy Corporation	Oil & Gas Midstream	66.90B
TRS	TriMas Corporation	Packaging & Containers	1.59B
TRSG	Tungray Technologies Inc.	Metal Fabrication	18.97M
TRST	TrustCo Bank Corp NY	Banks - Regional	781.92M
TRT	Trio-Tech International	Semiconductor Equipment & Materials	42.52M
TRTX	TPG RE Finance Trust, Inc.	REIT - Mortgage	662.88M
TRU	TransUnion	Financial Data & Stock Exchanges	15.11B
TRUG	TruGolf Holdings, Inc.	Leisure	4.20M
TRUP	Trupanion, Inc.	Insurance - Property & Casualty	1.15B
TRV	The Travelers Companies, Inc.	Insurance - Property & Casualty	66.74B
TRVG	trivago N.V.	Internet Content & Information	206.21M
TRVI	Trevi Therapeutics, Inc.	Biotechnology	1.53B
TRX	TRX Gold Corporation	Gold	524.37M
TS	Tenaris S.A.	Oil & Gas Equipment & Services	27.58B
TSAT	Telesat Corporation	Communication Equipment	1.60B
TSBK	Timberland Bancorp, Inc.	Banks - Regional	300.24M
TSCO	Tractor Supply Company	Specialty Retail	27.29B
TSE	Trinseo PLC	Specialty Chemicals	8.28M
TSEM	Tower Semiconductor Ltd.	Semiconductors	14.05B
TSHA	Taysha Gene Therapies, Inc.	Biotechnology	1.24B
TSLA	Tesla, Inc.	Auto Manufacturers	1.51T
TSLX	Sixth Street Specialty Lending, Inc.	Asset Management	1.64B
TSM	Taiwan Semiconductor Manufacturing Company Limited	Semiconductors	1.65T
TSN	Tyson Foods, Inc.	Farm Products	22.88B
TSQ	Townsquare Media, Inc.	Advertising Agencies	121.81M
TSSI	TSS, Inc.	Information Technology Services	297.97M
TT	Trane Technologies plc	Building Products & Equipment	102.33B
TTAM	Titan America SA	Building Materials	3.50B
TTAN	ServiceTitan, Inc.	Software - Application	6.78B
TTC	The Toro Company	Tools & Accessories	9.64B
TTD	The Trade Desk, Inc.	Advertising Agencies	11.52B
TTE	TotalEnergies SE	Oil & Gas Integrated	170.13B
TTEC	TTEC Holdings, Inc.	Information Technology Services	121.41M
TTEK	Tetra Tech, Inc.	Engineering & Construction	9.35B
TTGT	TechTarget, Inc.	Information Technology Services	253.27M
TTI	TETRA Technologies, Inc.	Conglomerates	1.16B
TTMI	TTM Technologies, Inc.	Electronic Components	10.78B
TTRX	Turn Therapeutics Inc.	Biotechnology	106.00M
TTWO	Take-Two Interactive Software, Inc.	Electronic Gaming & Multimedia	39.16B
TU	TELUS Corporation	Telecom Services	21.41B
TULP	Bloomia Holdings, Inc.	Advertising Agencies	6.86M
TURB	Turbo Energy, S.A.	Solar	7.44M
TUSK	Mammoth Energy Services, Inc.	Conglomerates	111.33M
TUYA	Tuya Inc.	Software - Infrastructure	1.54B
TV	Grupo Televisa, S.A.B.	Telecom Services	1.60B
TVA	Texas Ventures Acquisition III Corp	Shell Companies	314.40M
TVAI	Thayer Ventures Acquisition Corporation II	Shell Companies	276.86M
TVGN	Tevogen Bio Holdings Inc.	Biotechnology	53.24M
TVRD	Tvardi Therapeutics, Inc.	Biotechnology	37.43M
TVTX	Travere Therapeutics, Inc.	Biotechnology	2.75B
TW	Tradeweb Markets Inc.	Capital Markets	29.04B
TWAV	TaoWeave, Inc.	Asset Management	2.82M
TWFG	TWFG, Inc.	Insurance Brokers	1.14B
TWG	Top Wealth Group Holding Limited	Food Distribution	98.47M
TWI	Titan International, Inc.	Farm & Heavy Construction Machinery	622.25M
TWIN	Twin Disc, Incorporated	Specialty Industrial Machinery	262.33M
TWLO	Twilio Inc.	Software - Infrastructure	18.33B
TWLV	Twelve Seas Investment Company III	Shell Companies	224.46M
TWO	Two Harbors Investment Corp.	REIT - Mortgage	1.09B
TWST	Twist Bioscience Corporation	Diagnostics & Research	2.88B
TX	Ternium S.A.	Steel	8.53B
TXG	10x Genomics, Inc.	Health Information Services	2.94B
TXMD	TherapeuticsMD, Inc.	Drug Manufacturers - Specialty & Generic	26.16M
TXN	Texas Instruments Incorporated	Semiconductors	192.50B
TXNM	TXNM Energy, Inc.	Utilities - Regulated Electric	6.43B
TXO	TXO Partners, L.P.	Oil & Gas Exploration & Production	691.64M
TXRH	Texas Roadhouse, Inc.	Restaurants	12.10B
TXT	Textron Inc.	Aerospace & Defense	17.18B
TYG	Tortoise Energy Infrastructure Corporation	Asset Management	1.05B
TYGO	Tigo Energy, Inc.	Solar	279.51M
TYL	Tyler Technologies, Inc.	Software - Application	15.25B
TYRA	Tyra Biosciences, Inc.	Biotechnology	1.78B
TZOO	Travelzoo	Internet Content & Information	70.51M
U	Unity Software Inc.	Software - Application	7.89B
UA	Under Armour, Inc.	Apparel Manufacturing	3.12B
UAA	Under Armour, Inc.	Apparel Manufacturing	3.16B
UAC	United Acquisition Corp. I	Shell Companies	137.24M
UAL	United Airlines Holdings, Inc.	Airlines	34.38B
UAMY	United States Antimony Corporation	Other Industrial Metals & Mining	1.25B
UAN	CVR Partners, LP	Agricultural Inputs	1.05B
UAVS	AgEagle Aerial Systems, Inc.	Computer Hardware	40.94M
UBCP	United Bancorp, Inc.	Banks - Regional	85.97M
UBER	Uber Technologies, Inc.	Software - Application	155.22B
UBFO	United Security Bancshares	Banks - Regional	182.92M
UBS	UBS Group AG	Banks - Diversified	128.71B
UBSI	United Bankshares, Inc.	Banks - Regional	5.76B
UBXG	U-BX Technology Ltd.	Software - Infrastructure	55.12M
UCAR	U Power Limited	Auto & Truck Dealerships	7.41M
UCB	United Community Banks, Inc.	Banks - Regional	3.85B
UCFI	CN Healthy Food Tech Group Corp.	Shell Companies	287.81M
UCL	uCloudlink Group Inc.	Telecom Services	63.22M
UCTT	Ultra Clean Holdings, Inc.	Semiconductor Equipment & Materials	2.76B
UDMY	Udemy, Inc.	Education & Training Services	731.47M
UDR	UDR, Inc.	REIT - Residential	13.51B
UE	Urban Edge Properties	REIT - Retail	2.82B
UEC	Uranium Energy Corp.	Uranium	7.41B
UEIC	Universal Electronics Inc.	Consumer Electronics	50.39M
UFCS	United Fire Group, Inc.	Insurance - Property & Casualty	991.79M
UFG	Uni-Fuels Holdings Limited	Marine Shipping	32.47M
UFI	Unifi, Inc.	Textile Manufacturing	73.02M
UFPI	UFP Industries, Inc.	Lumber & Wood Production	6.00B
UFPT	UFP Technologies, Inc.	Medical Devices	1.62B
UG	United-Guardian, Inc.	Household & Personal Products	30.87M
UGI	UGI Corporation	Utilities - Regulated Gas	8.03B
UGP	Ultrapar Participações S.A.	Oil & Gas Refining & Marketing	5.37B
UGRO	urban-gro, Inc.	Farm & Heavy Construction Machinery	1.86M
UHAL	U-Haul Holding Company	Rental & Leasing Services	9.93B
UHAL.B	U-Haul Holding Company	Rental & Leasing Services	9.32B
UHG	United Homes Group, Inc.	Residential Construction	68.83M
UHS	Universal Health Services, Inc.	Medical Care Facilities	12.59B
UHT	Universal Health Realty Income Trust	REIT - Healthcare Facilities	605.17M
UI	Ubiquiti Inc.	Communication Equipment	46.42B
UIS	Unisys Corporation	Information Technology Services	173.29M
UK	Ucommune International Ltd	Real Estate Services	3.52M
UL	Unilever PLC	Household & Personal Products	163.23B
ULBI	Ultralife Corporation	Electrical Equipment & Parts	94.40M
ULCC	Frontier Group Holdings, Inc.	Airlines	1.02B
ULH	Universal Logistics Holdings, Inc.	Trucking	437.87M
ULS	UL Solutions Inc.	Specialty Business Services	16.88B
ULTA	Ulta Beauty, Inc.	Specialty Retail	30.38B
ULY	Urgent.ly Inc.	Software - Application	4.25M
UMAC	Unusual Machines, Inc.	Computer Hardware	503.35M
UMBF	UMB Financial Corporation	Banks - Regional	8.82B
UMC	United Microelectronics Corporation	Semiconductors	26.32B
UMH	UMH Properties, Inc.	REIT - Residential	1.28B
UNB	Union Bankshares, Inc.	Banks - Regional	106.54M
UNCY	Unicycive Therapeutics, Inc.	Biotechnology	148.94M
UNF	UniFirst Corporation	Specialty Business Services	4.24B
UNFI	United Natural Foods, Inc.	Food Distribution	2.33B
UNH	UnitedHealth Group Incorporated	Healthcare Plans	265.66B
UNIT	Uniti Group Inc.	REIT - Specialty	1.75B
UNM	Unum Group	Insurance - Life	11.75B
UNP	Union Pacific Corporation	Railroads	157.24B
UNTY	Unity Bancorp, Inc.	Banks - Regional	530.94M
UOKA	MDJM Ltd	Lodging	427.90K
UONE	Urban One, Inc.	Broadcasting	36.46M
UONEK	Urban One, Inc.	Broadcasting	342.37M
UP	Wheels Up Experience Inc.	Airports & Air Services	430.03M
UPB	Upstream Bio, Inc.	Biotechnology	415.02M
UPBD	Upbound Group, Inc.	Software - Application	1.25B
UPC	Universe Pharmaceuticals INC	Drug Manufacturers - Specialty & Generic	1.53M
UPLD	Upland Software, Inc.	Software - Application	25.51M
UPS	United Parcel Service, Inc.	Integrated Freight & Logistics	98.46B
